timestamp,can_id,dlc,data_hex
2025-08-25 21:04:47,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:47,0x6B2,8,0042991d421d489f
2025-08-25 21:04:47,0x6B1,8,00120005161100f7
2025-08-25 21:04:47,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:47,0x6B2,8,0042991e421e48a1
2025-08-25 21:04:47,0x6B1,8,00120005161100f7
2025-08-25 21:04:47,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:47,0x6B2,8,0042991d421d489f
2025-08-25 21:04:47,0x6B1,8,00120005161100f7
2025-08-25 21:04:47,0x1806E7F4,8,0bd7003200000000
2025-08-25 21:04:47,0x1806E9F4,8,0bd7003200000000
2025-08-25 21:04:47,0x1806E5F4,8,0bd7003200000000
2025-08-25 21:04:47,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:47,0x6B2,8,0042991d421d489f
2025-08-25 21:04:47,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991d421d489f
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991c421c489d
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991d421d489f
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991c421c489d
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991d421d489f
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991e421e48a1
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991d421d489f
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x1806E7F4,8,0bd7003200000000
2025-08-25 21:04:48,0x1806E9F4,8,0bd7003200000000
2025-08-25 21:04:48,0x1806E5F4,8,0bd7003200000000
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991d421d489f
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
2025-08-25 21:04:48,0x6B0,8,00000b09a10586f8
2025-08-25 21:04:48,0x6B2,8,0042991c421c489d
2025-08-25 21:04:48,0x6B1,8,00120005161100f7
